Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
06/1972,1.525,1972-06-01,1.50607,0.01893,0.87288,0.52115,0.65212,1.25132,0.06897,0.08631,1.16501
07/1972,0.816,1972-07-01,0.79728,0.01872,0.86582,0.66268,-0.04983,-0.07519,0.11956,-0.00899,-0.0662
08/1972,1.123,1972-08-01,1.10449,0.01851,0.6943,0.42636,0.4287,1.00549,0.19382,0.19488,0.81061
09/1972,0.785,1972-09-01,0.76671,0.01829,0.7096,0.52468,0.0754,0.14371,0.54189,0.07787,0.06583
10/1972,1.037,1972-10-01,1.01892,0.01808,0.81383,0.66743,0.22317,0.33438,-0.0622,-0.0208,0.35518
11/1972,1.116,1972-11-01,1.09814,0.01786,0.95687,0.73276,0.15913,0.21716,0.44651,0.09696,0.1202
12/1972,0.953,1972-12-01,0.93535,0.01765,1.42378,1.20142,-0.47078,-0.39185,0.38281,-0.15001,-0.24184
01/1973,0.504,1973-01-01,0.48656,0.01744,1.32562,0.92795,-0.82162,-0.88542,0.25444,-0.22529,-0.66013
02/1973,0.579,1973-02-01,0.56178,0.01722,1.09023,0.71671,-0.51123,-0.71329,0.25318,-0.18059,-0.5327
03/1973,1.344,1973-03-01,1.32699,0.01701,1.8362,1.01561,-0.4922,-0.48463,0.00952,-0.00461,-0.48002
04/1973,2.615,1973-04-01,2.59821,0.01679,2.39665,1.45556,0.21835,0.15001,0.59307,0.08897,0.06104
05/1973,2.226,1973-05-01,2.20942,0.01658,1.25822,0.80009,0.96778,1.20959,0.37076,0.44847,0.76112
06/1973,0.69,1973-06-01,0.67363,0.01637,0.87288,0.52115,-0.18288,-0.35091,0.06897,-0.0242,-0.3267
07/1973,1.172,1973-07-01,1.15585,0.01615,0.86582,0.66268,0.30617,0.46203,0.11956,0.05524,0.40679
08/1973,0.699,1973-08-01,0.68306,0.01594,0.6943,0.42636,0.0047,0.01102,0.19382,0.00214,0.00889
09/1973,0.329,1973-09-01,0.31328,0.01572,0.7096,0.52468,-0.3806,-0.72539,0.54189,-0.39308,-0.33231
10/1973,0.478,1973-10-01,0.46249,0.01551,0.81383,0.66743,-0.33583,-0.50316,-0.0622,0.0313,-0.53445
11/1973,0.442,1973-11-01,0.4267,0.0153,0.95687,0.73276,-0.51487,-0.70265,0.44651,-0.31374,-0.38891
12/1973,0.436,1973-12-01,0.42092,0.01508,1.42378,1.20142,-0.98778,-0.82218,0.38281,-0.31474,-0.50744
01/1974,1.934,1974-01-01,1.91913,0.01487,1.32562,0.92795,0.60837,0.65561,0.25444,0.16681,0.4888
02/1974,0.88,1974-02-01,0.86534,0.01466,1.09023,0.71671,-0.21023,-0.29332,0.25318,-0.07426,-0.21906
03/1974,1.311,1974-03-01,1.29656,0.01444,1.8362,1.01561,-0.5252,-0.51713,0.00952,-0.00492,-0.5122
04/1974,0.599,1974-04-01,0.58477,0.01423,2.39665,1.45556,-1.79765,-1.23503,0.59307,-0.73245,-0.50257
05/1974,0.674,1974-05-01,0.65999,0.01401,1.25822,0.80009,-0.58422,-0.7302,0.37076,-0.27073,-0.45947
06/1974,0.933,1974-06-01,0.9192,0.0138,0.87288,0.52115,0.06012,0.11537,0.06897,0.00796,0.10741
07/1974,1.057,1974-07-01,1.04341,0.01359,0.86582,0.66268,0.19117,0.28849,0.11956,0.03449,0.254
08/1974,0.508,1974-08-01,0.49463,0.01337,0.6943,0.42636,-0.1863,-0.43696,0.19382,-0.08469,-0.35227
09/1974,0.345,1974-09-01,0.33184,0.01316,0.7096,0.52468,-0.3646,-0.69489,0.54189,-0.37655,-0.31834
10/1974,0.754,1974-10-01,0.74106,0.01294,0.81383,0.66743,-0.05983,-0.08963,-0.0622,0.00558,-0.09521
11/1974,3.117,1974-11-01,3.10427,0.01273,0.95687,0.73276,2.16013,2.94793,0.44651,1.31628,1.63165
12/1974,7.342,1974-12-01,7.32948,0.01252,1.42378,1.20142,5.91822,4.92604,0.38281,1.88575,3.04029
01/1975,2.416,1975-01-01,2.4037,0.0123,1.32562,0.92795,1.09037,1.17503,0.25444,0.29898,0.87606
02/1975,1.335,1975-02-01,1.32291,0.01209,1.09023,0.71671,0.24477,0.34153,0.25318,0.08647,0.25506
03/1975,0.796,1975-03-01,0.78413,0.01187,1.8362,1.01561,-1.0402,-1.02421,0.00952,-0.00975,-1.01446
04/1975,1.563,1975-04-01,1.55134,0.01166,2.39665,1.45556,-0.83365,-0.57274,0.59307,-0.33967,-0.23307
05/1975,0.683,1975-05-01,0.67155,0.01145,1.25822,0.80009,-0.57522,-0.71895,0.37076,-0.26656,-0.45239
06/1975,0.592,1975-06-01,0.58077,0.01123,0.87288,0.52115,-0.28088,-0.53895,0.06897,-0.03717,-0.50178
07/1975,0.581,1975-07-01,0.56998,0.01102,0.86582,0.66268,-0.28483,-0.42981,0.11956,-0.05139,-0.37842
